merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud
fraud_Hoppe-Parisian,kids_pets,36.72,M,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,12/7/1980,32.761156,-85.903113,0
fraud_Brown-Greenholt,entertainment,105.78,M,Ollie,IA,52576,41.2001,-92.1354,568,Commercial horticulturist,24/07/1969,41.214609,-92.226244,0
fraud_Reilly LLC,home,39.95,F,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",22/02/1977,30.382414,-90.923894,0
"fraud_Moore, Williamson and Emmerich",home,47.81,M,San Antonio,TX,78248,29.5894,-98.5201,1595797,Exhibition designer,28/12/1975,30.50995,-99.374201,0
fraud_Rau-Robel,kids_pets,18.96,M,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",28/12/1974,42.186473,-84.041557,0
"fraud_Fadel, Mertz and Rippin",entertainment,46.67,F,Mc Cracken,KS,67556,38.5957,-99.554,320,Film/video editor,22/04/1961,39.456658,-99.569786,0
fraud_Crona and Sons,kids_pets,30.59,M,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,15/12/1943,32.053228,-97.160999,0
"fraud_Bahringer, Bergnaum and Quitzon",home,3.94,F,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,28/11/1972,40.922923,-91.977219,0
"fraud_Koss, Hansen and Lueilwitz",home,84.11,M,Tuscarora,MD,21790,39.2667,-77.5101,100,"Production assistant, television",11/12/1979,39.535382,-77.064747,0
"fraud_Yost, Schamberger and Windler",kids_pets,31.19,F,Sunflower,MS,38778,33.5567,-90.5451,1686,"Education officer, community",6/11/1986,33.693106,-89.594744,0
"fraud_Armstrong, Walter and Gottlieb",food_dining,4.91,F,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,13/03/1994,41.061214,-73.997981,0
fraud_Friesen Ltd,health_fitness,5.36,F,Redford,MO,63665,37.3272,-91.0243,241,Investment analyst,27/10/1974,38.211238,-90.421871,0
fraud_Champlin and Sons,home,80.5,M,Brooklin,ME,4616,44.2541,-68.5565,824,"Loss adjuster, chartered",2/11/1974,44.95902,-69.150254,0
fraud_Bins-Tillman,entertainment,49.57,F,Fields Landing,CA,95537,40.7268,-124.2174,276,"Scientist, audiological",6/5/1929,40.535495,-123.900519,0
fraud_Douglas-White,entertainment,79.51,M,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,26/02/1976,43.143727,-109.338705,0
"fraud_Hermiston, Pacocha and Smith",health_fitness,34.17,F,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,26/10/1988,38.420616,-92.942305,0
"fraud_Denesik, Powlowski and Pouros",home,9.75,F,Port Saint Lucie,FL,34953,27.2625,-80.3793,181438,Primary school teacher,19/03/1934,26.708918,-79.679105,0
fraud_Nader-Maggio,personal_care,68.88,M,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,29/09/1993,43.760065,-72.192128,0
"fraud_O'Reilly, Mohr and Purdy",home,30.73,F,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,30/12/1964,36.312953,-89.938402,0
fraud_O'Connell-Ullrich,home,63.27,F,Washington,DC,20036,38.9087,-77.0414,601723,Prison officer,14/03/1986,39.417666,-76.627816,0
fraud_Bauch-Blanda,entertainment,121.46,F,Clearwater,FL,33760,27.9004,-82.7152,172247,"Geneticist, molecular",22/10/1979,27.482301,-83.200829,0
"fraud_Ruecker, Beer and Collier",shopping_net,9.23,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1/9/1999,41.49385,-74.258146,0
fraud_Berge-Hills,kids_pets,8.86,F,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,28/10/1987,32.390381,-111.567332,0
fraud_White and Sons,home,55.53,M,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,30/07/1982,33.623691,-118.424568,0
fraud_Adams-Barrows,health_fitness,2.61,M,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,29/07/1998,41.502652,-73.721972,0
fraud_Crona and Sons,kids_pets,1.93,M,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,17/03/1937,40.857733,-73.447974,0
fraud_Bauch-Blanda,entertainment,20.03,F,Rock Springs,WY,82901,41.606,-109.23,27971,Music therapist,1/8/1984,41.899218,-108.428107,0
fraud_Pouros-Haag,shopping_pos,7.93,F,Hurley,SD,57036,43.2893,-97.1904,811,Neurosurgeon,28/03/1972,43.795359,-96.833415,0
"fraud_Hahn, Bahringer and McLaughlin",personal_care,20.4,F,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,29/08/1985,26.674733,-82.009233,0
fraud_Ziemann-Waters,health_fitness,181.87,F,New Waverly,TX,77358,30.5354,-95.4532,4993,"Scientist, biomedical",30/11/1948,31.152375,-95.272196,0
"fraud_Wuckert, Wintheiser and Friesen",home,30.72,M,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,4/1/1964,48.456992,-107.518067,0
fraud_Bauch-Blanda,entertainment,129.58,F,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",6/6/1999,36.192355,-85.869963,0
fraud_Bednar PLC,kids_pets,5.13,M,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,21/12/1980,41.131668,-75.188408,0
fraud_Kihn Inc,shopping_pos,189.99,F,Bauxite,AR,72011,34.5091,-92.4828,4074,"Scientist, audiological",20/12/1975,34.44252,-92.264081,0
fraud_Fisher Inc,shopping_net,5.37,M,Sachse,TX,75048,32.9643,-96.6012,20328,Site engineer,20/06/1985,32.071768,-96.748077,0
fraud_Leffler-Goldner,personal_care,6.04,M,Emmons,MN,56029,43.5089,-93.4824,744,Communications engineer,28/01/1968,44.388218,-93.400188,0
"fraud_Schneider, Hayes and Nikolaus",food_dining,15.49,M,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,22/01/1978,43.52303,-88.132231,0
"fraud_Greenholt, O'Hara and Balistreri",shopping_net,4.94,M,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",28/02/1989,28.669762,-82.456744,0
fraud_Gottlieb-Hansen,personal_care,74.52,M,Cokeburg,PA,15324,40.1008,-80.0652,632,Dealer,8/4/1989,40.067362,-80.213927,0
"fraud_Douglas, Schneider and Turner",shopping_pos,4.4,F,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,27/09/1970,34.858369,-98.135879,0
"fraud_Gutmann, McLaughlin and Wiza",home,71.68,F,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,17/07/1989,39.485253,-92.983354,0
fraud_Champlin and Sons,home,33.97,F,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",1/9/1984,49.031436,-122.865744,0
fraud_Weber and Sons,food_dining,20.87,M,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,16/09/1967,38.416893,-79.24534,0
fraud_Bednar PLC,kids_pets,19.41,F,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,16/08/2000,33.775701,-106.03686,0
fraud_Bartoletti and Sons,personal_care,21.57,M,Oriskany Falls,NY,13425,42.9576,-75.4838,1970,"Programmer, multimedia",9/6/1949,42.541989,-75.057743,0
fraud_Powlowski-Weimann,food_dining,19.06,M,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,12/7/1980,33.936769,-86.762376,0
"fraud_Lakin, Ferry and Beatty",food_dining,60.07,M,Elk Rapids,MI,49629,44.8955,-85.4082,2223,Chief Financial Officer,18/01/1986,45.877554,-85.362472,0
fraud_Brown-Greenholt,entertainment,15.8,M,Monmouth Beach,NJ,7750,40.333,-73.9809,3279,Health promotion specialist,5/10/1978,41.186828,-74.811464,0
"fraud_Terry, Johns and Bins",misc_pos,2.01,M,North Brookfield,MA,1535,42.2665,-72.0821,4680,Field seismologist,3/4/1986,42.127625,-71.635136,0
fraud_Thiel-Thiel,entertainment,75.24,M,Mount Saint Joseph,OH,45051,39.0965,-84.6431,177,Exhibition designer,30/05/1974,39.417127,-84.959324,0
fraud_Kuhn Group,food_dining,56.3,M,Sprague,NE,68438,40.6267,-96.7456,142,Chiropodist,24/08/1967,41.41602,-95.774493,0
"fraud_Schaefer, Fay and Hilll",entertainment,5.95,M,Cass,WV,24927,38.388,-79.9906,365,Special effects artist,14/03/1970,38.665727,-80.435349,0
"fraud_Roberts, Ryan and Smith",personal_care,19.73,M,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",8/9/1938,34.871462,-91.496576,0
fraud_Stiedemann Ltd,food_dining,128.33,M,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,22/01/1978,43.051363,-87.799946,0
fraud_Pacocha-Weissnat,kids_pets,136.16,F,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,14/02/1966,39.544819,-76.943965,0
fraud_Homenick LLC,personal_care,16.8,F,New Ellenton,SC,29809,33.413,-81.69,2206,Biomedical scientist,31/12/1986,33.647548,-80.75383,0
fraud_Cartwright PLC,kids_pets,113.89,F,Munith,MI,49259,42.3703,-84.2485,2523,Geophysicist/field seismologist,21/03/1988,42.225874,-83.540129,0
fraud_Pouros-Haag,shopping_pos,37.14,F,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,8/4/1993,35.026522,-90.444442,0
fraud_Kihn-Fritsch,food_dining,16.06,M,Cuyahoga Falls,OH,44223,41.1464,-81.5107,47772,Equities trader,4/1/1966,40.312539,-81.654015,0
fraud_Lynch Ltd,shopping_pos,1.01,F,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,2/9/1985,37.901707,-79.52365,0
fraud_Klein Group,entertainment,6.98,M,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,5/11/1971,42.964421,-83.670351,0
fraud_Quitzon-Goyette,home,31.88,M,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,7/4/1965,38.215956,-75.272334,0
fraud_Greenholt Ltd,health_fitness,242.35,F,Philadelphia,PA,19154,40.0897,-74.9781,1526206,Commercial horticulturist,23/05/1972,39.151823,-75.035003,0
fraud_Bahringer Group,health_fitness,20.66,F,North Loup,NE,68859,41.4972,-98.7858,509,"Nurse, children's",15/09/1980,41.103974,-98.4845,0
fraud_Hilpert-Conroy,kids_pets,127.76,M,Hartford,AL,36344,31.086,-85.7192,5732,Jewellery designer,7/12/1945,31.361379,-85.084231,0
"fraud_Lakin, Ferry and Beatty",food_dining,4.24,F,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,26/10/1988,38.40991,-92.002267,0
"fraud_Witting, Beer and Ernser",home,28.51,M,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",4/8/1988,35.342658,-106.334921,0
fraud_Breitenberg-Hermiston,kids_pets,29.39,F,Eureka,IL,61530,40.7152,-89.2706,6713,Archivist,19/08/1945,41.415532,-89.517881,0
fraud_Friesen Inc,shopping_pos,5.85,F,Wheaton,MO,64874,36.7651,-94.0492,760,Production manager,31/08/1985,37.191244,-94.746417,0
fraud_Gottlieb-Hansen,personal_care,12.64,F,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,3/10/1992,39.66641,-83.562243,0
"fraud_Baumbach, Strosin and Nicolas",shopping_pos,9.63,F,Altair,TX,77412,29.6047,-96.5249,106,"Editor, film/video",24/07/1983,29.472265,-96.14221,0
fraud_Rippin-VonRueden,health_fitness,18.02,F,Ratcliff,TX,75858,31.3833,-95.0619,43,"Engineer, production",4/10/1949,30.950957,-94.108481,0
"fraud_Nienow, Ankunding and Collier",misc_pos,2.54,M,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",6/3/1978,36.333062,-86.086992,0
fraud_Schmidt and Sons,shopping_net,9.17,F,Plantersville,AL,36758,32.6176,-86.9475,1412,Drilling engineer,20/11/1970,32.678558,-87.272214,0
"fraud_Prosacco, Kreiger and Kovacek",home,26.03,F,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",8/5/2004,42.013548,-88.039021,0
fraud_Schumm PLC,health_fitness,46.81,F,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",6/7/1952,37.019405,-97.388758,0
fraud_Berge-Ullrich,home,61.44,F,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,24/10/1981,33.914314,-111.576584,0
"fraud_Roob, Conn and Tremblay",shopping_pos,68.51,F,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,23/03/1977,32.852509,-95.443675,0
fraud_Kihn-Schuster,food_dining,57.53,M,Kittery Point,ME,3905,43.0976,-70.7121,1780,Broadcast engineer,21/01/1983,42.526152,-70.524338,0
fraud_Tillman LLC,travel,2.3,F,East Andover,ME,4226,44.6084,-70.6993,190,Animal nutritionist,17/04/1970,43.70784,-71.15595,0
fraud_Monahan-Morar,personal_care,28.74,F,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,11/2/1971,43.84533,-116.859776,0
fraud_Powlowski-Weimann,food_dining,1.92,M,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",22/08/1997,44.191357,-70.730185,0
fraud_Botsford Ltd,shopping_pos,3.37,F,Dallas,TX,75218,32.8463,-96.6972,1263321,"Designer, ceramics/pottery",16/04/1975,32.422918,-96.070476,0
fraud_Hamill-D'Amore,health_fitness,22.42,M,Espanola,NM,87533,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,18/07/1972,36.955738,-105.798176,0
"fraud_Bradtke, Torp and Bahringer",personal_care,12.33,F,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,11/9/1970,34.17475,-96.873112,0
fraud_Corwin-Romaguera,travel,6.85,M,Aledo,TX,76008,32.7004,-97.6039,13602,Optometrist,5/7/1984,33.268393,-98.42305,0
fraud_Gaylord-Powlowski,home,80.8,M,Weeping Water,NE,68463,40.8731,-96.1528,1517,Dealer,8/11/1951,41.056503,-96.593249,0
fraud_Mayert Group,shopping_pos,5.61,M,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,22/09/1973,34.154574,-117.853243,0
"fraud_Baumbach, Strosin and Nicolas",shopping_pos,7.47,F,Creola,OH,45622,39.3543,-82.503,321,"Copywriter, advertising",24/06/1979,39.087656,-82.268046,0
fraud_Beier and Sons,home,43.47,M,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",21/12/1966,43.621152,-85.447931,0
fraud_Abbott-Steuber,personal_care,8.32,F,Eugene,OR,97403,44.0385,-123.0614,191096,"Scientist, physiological",6/4/1964,43.046296,-122.689361,0
fraud_Sporer-Keebler,personal_care,37,F,Fulton,SD,57340,43.7588,-97.8712,355,Financial adviser,26/06/1955,44.398989,-97.772526,0
fraud_Ernser-Lynch,food_dining,9.76,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1/9/1999,41.402386,-73.167331,0
fraud_Reilly LLC,home,75.99,M,Helm,CA,93627,36.4992,-120.0936,123,Early years teacher,7/2/1973,35.884509,-120.349641,0
fraud_Little Ltd,kids_pets,26.54,F,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,11/2/1982,41.1231,-101.207306,0
fraud_Gislason Group,travel,558.03,M,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1/7/1972,30.87087,-92.873036,0
fraud_Stark-Koss,home,5.26,F,Lakeland,FL,33811,27.9865,-82.0139,237282,Clothing/textile technologist,3/7/1979,28.642801,-82.701559,0
"fraud_Crist, Jakubowski and Littel",home,46.33,F,Hudson,KS,67545,38.1485,-98.6408,215,Probation officer,22/11/1968,38.908427,-99.275548,0
fraud_Kling-Ernser,entertainment,19.3,F,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,29/08/1981,39.097309,-79.398315,0
fraud_Lubowitz-Walter,kids_pets,49.77,F,Holstein,NE,68950,40.4542,-98.6538,331,Telecommunications researcher,19/08/1950,39.723854,-98.16341,0
"fraud_Cronin, Kshlerin and Weber",health_fitness,109.54,F,Battle Creek,IA,51006,42.3327,-95.6045,1075,"Teacher, early years/pre",2/1/1997,42.079377,-96.459033,0
fraud_Upton PLC,entertainment,48.05,F,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,22/09/1997,41.928491,-80.004966,0
fraud_Kilback Group,food_dining,7.25,F,Deane,KY,41812,37.2409,-82.7696,230,"Conservation officer, historic buildings",4/8/1997,36.578865,-83.087049,0
fraud_Carroll PLC,health_fitness,145.44,M,Ragland,AL,35131,33.7367,-86.1619,4159,Educational psychologist,3/2/1998,33.315422,-85.538494,0
fraud_Effertz LLC,entertainment,173.09,M,Norman Park,GA,31771,31.2462,-83.6549,5666,Rural practice surveyor,14/09/2003,32.024134,-84.370346,0
fraud_Windler LLC,kids_pets,42.21,F,Clearwater,FL,33760,27.9004,-82.7152,172247,"Geneticist, molecular",22/10/1979,28.51525,-81.9264,0
fraud_Satterfield-Lowe,travel,4.13,F,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,25/05/1954,42.039551,-80.43667,0
fraud_Schuppe-Schuppe,food_dining,8.57,M,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,27/12/1999,28.984465,-95.201668,0
fraud_Hickle Group,shopping_pos,2.6,F,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",6/6/1999,37.768096,-85.96479,0
fraud_Nader-Heller,misc_net,7.01,F,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",6/6/1999,37.330453,-86.371893,0
fraud_Auer-West,shopping_net,32.82,F,Loxahatchee,FL,33470,26.7383,-80.276,26551,Paramedic,4/1/1977,27.22974,-79.854819,0
"fraud_Lesch, D'Amore and Brown",food_dining,6.96,M,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,13/12/1960,39.373197,-78.936159,0
fraud_Barrows PLC,shopping_pos,1.8,F,Milford,OH,45150,39.1657,-84.233,31394,Hospital doctor,12/11/1996,39.718638,-83.508406,0
